案件編號,日期,事件類型,描述,相關人員,證據編號
CASE-2025-001,2025/1/10,初始報告,客戶投訴系統異常扣款,客戶A、客服01,EVD-001
CASE-2025-001,2025/1/12,內部調查,調取交易紀錄，發現重複扣款,分析師B,EVD-002
CASE-2025-001,2025/1/15,訪談,訪談負責工程師，確認為程式bug,工程師C,EVD-003
CASE-2025-001,2025/1/18,修復,部署修復程式，停止重複扣款,工程團隊,EVD-004
CASE-2025-001,2025/1/20,退款,完成所有受影響客戶退款（共32筆）,財務D,EVD-005
CASE-2025-001,2025/2/01,檢討報告,提交事件檢討報告,合規主管E,EVD-006
CASE-2025-002,2025/2/05,初始報告,前員工疑似帶走客戶資料,HR主管F,EVD-007
CASE-2025-002,2025/2/07,數位鑑識,檢查離職員工電腦，發現USB複製紀錄,IT安全G,EVD-008
CASE-2025-002,2025/2/10,法務諮詢,諮詢律師評估法律行動,法務H,EVD-009
CASE-2025-002,2025/2/15,發函,發送律師函要求歸還資料,法務H,EVD-010
