日期,來源,評分,回饋內容,客戶類型
2025/3/01,App Store,5,很好用，介面很直覺！,免費用戶
2025/3/02,客服信箱,2,匯出功能壞了，已經第三次了,付費用戶
2025/3/03,NPS問卷,8,整體不錯，但報表功能希望能更靈活,企業用戶
2025/3/04,社群媒體,1,更新後 App 一直閃退，差評,免費用戶
2025/3/05,App Store,4,功能齊全，但載入速度有點慢,付費用戶
2025/3/06,客服信箱,3,不支援匯入 CSV，很不方便,企業用戶
2025/3/07,NPS問卷,9,客服回應超快，很感謝！,付費用戶
2025/3/08,App Store,2,隱私權政策讓人擔心,免費用戶
2025/3/09,客服信箱,4,深色模式終於有了，但圖表顏色看不清,付費用戶
2025/3/10,社群媒體,5,推薦給所有做小生意的朋友！,付費用戶
2025/3/11,NPS問卷,3,價格偏高，同類產品便宜很多,企業用戶
2025/3/12,客服信箱,1,帳號被鎖定，客服三天沒回覆,付費用戶
2025/3/13,App Store,5,每次更新都有驚喜，開發團隊用心,免費用戶
2025/3/14,NPS問卷,7,功能足夠，穩定性需要加強,企業用戶
2025/3/15,社群媒體,4,教學影片很有幫助,免費用戶
