年份,季度,渠道,募款金額,捐贈人數,平均捐款,新捐贈人比例
2024,Q1,線上募款,850000,320,2656,35%
2024,Q1,企業贊助,1200000,8,150000,12%
2024,Q1,活動募款,450000,180,2500,45%
2024,Q2,線上募款,920000,350,2629,30%
2024,Q2,企業贊助,800000,6,133333,0%
2024,Q2,活動募款,680000,250,2720,40%
2024,Q3,線上募款,780000,290,2690,28%
2024,Q3,企業贊助,1500000,10,150000,20%
2024,Q3,活動募款,520000,200,2600,38%
2024,Q4,線上募款,1100000,420,2619,32%
2024,Q4,企業贊助,2000000,12,166667,8%
2024,Q4,活動募款,750000,280,2679,42%
2025,Q1,線上募款,950000,340,2794,33%
2025,Q1,企業贊助,1100000,7,157143,14%
2025,Q1,活動募款,480000,190,2526,41%
